ingredient_name,aliases,category,serving_size,direct_cognitive_benefits,indirect_cognitive_benefits,key_nutrients,mechanisms,calories,mind_diet,mediterranean_diet,dash_diet,anti_inflammatory,gut_health/microbiome_support,carbohydrates_gm,glycemic_index,glycemic_load,protein_gm,fiber_gm
Cherries,,Fruit,1 cup (cupped palm),"Contains fiber and is a source of nitrates (though less than beet). Prebiotic fibers support gut bacteria; nitrates can improve blood flow to the brain. Celery also contains luteolin, a flavonoid shown to reduce brain inflammation in animal studies, potentially aiding memory.","CeleryÃ¢ÂÂs nitrates can modestly lower blood pressure. It has a diuretic effect (phthalides in celery relax blood vessels), supporting cardiovascular health. Low-calorie and hydrating, it aids in weight management. The antioxidants in celery (like apigenin) have anti-inflammatory and immune-modulating effects.","Anthocyanins, flavonoids, vitamin C, fiber","Antioxidant, anti-inflammatory, metabolic health",50,no,no,yes,no,prebiotic,12.5,15.0,0.3,1.0,1.6
Chia Seeds,,Seeds,1 oz (small handful),"Aged cheese fermented with lactic cultures (mostly inactive by consumption). Not a pre/probiotic, and high in saturated fat Ã¢ÂÂ limited in brain-healthy diets. No evidence that cheddar improves cognition; any slight benefit would be from dairy protein or calcium. Excess may be detrimental due to saturated fat (linked to worse cognitive outcomes if over-consumed).","Good source of protein, calcium, and B12. Helps maintain bone mass. Some studies suggest fermented dairy like cheese might not raise cardiovascular risk as much as butter, possibly due to calcium binding fats. However, high intake is linked to elevated LDL. Moderation is associated with neutral cardiovascular outcomes.","Omega-3 fatty acids (ALA), protein, fiber, B vitamins, calcium, phosphorus, potassium, polyphenols, flavonoids, antioxidants","Cardioprotective, antidiabetic, antioxidant, anti-inflammatory, hypolipidemic, neuroprotective",60,yes,no,yes,yes,prebiotic,9.0,0.0,0,17.0,34.0
Chicken Breast,,Poultry,3Ã¢ÂÂ4 oz cooked (palm size),"Rich in anthocyanins and flavonols. Cherry consumption (especially tart cherries) has been linked to improved cognitive performance in older adults due to reduced oxidative stress and inflammation. Polyphenols feed gut microbes; a trial showed tart cherry juice improved memory and learning in mild dementia, possibly via gut-brain signaling.","Tart cherries reduce inflammation (lower CRP) and oxidative damage. Both sweet and tart cherries have been shown to improve sleep quality (natural melatonin) and reduce gout flares. They can help lower blood pressure and LDL cholesterol in the short term. Overall, cherries support heart health and recovery from exercise (reduced muscle soreness).","Lean protein, B vitamins, minerals (selenium, phosphorus), bioactive peptides (carnosine, anserine, creatine), low fat","Muscle building, metabolic support, antioxidant, antihypertensive, antimicrobial",140,no,no,no,yes,no,0.0,20.0,3,31.0,0.0
Chickpea Pasta,,Pasta,1 cup,"Very high in soluble fiber (and mucilage) that acts as a prebiotic, fostering SCFA production. Also a plant source of omega-3 ALA Ã¢ÂÂ diets rich in ALA are associated with slower cognitive decline. ChiaÃ¢ÂÂs fiber helps stabilize blood sugar, avoiding glucose spikes that can impair cognitive function.","Help reduce LDL and triglycerides due to fiber and omega-3. Aid in glycemic control (useful for diabetes prevention) by forming a gel that slows carbohydrate absorption. Provide calcium, magnesium, and antioxidants (caffeic acid) that reduce inflammation. Improve satiety and support weight management.","Iron, Folate, Magnesium, Potassium","Provides resistant starch and soluble fiber, which feed gut microbiota linked to mood and cognition. Supports metabolic health, insulin sensitivity, and sustained energy delivery to the brain.",240,yes,yes,yes,yes,prebiotic,32.5,1.0,0,20.0,11.0
Chickpeas,,Legumes,½ cup cooked (small fist),"Lean protein source Ã¢ÂÂ not prebiotic or probiotic. Provides amino acids (like tryptophan for neurotransmitter serotonin) and B vitamins that support cognitive function. Replacing high-sat-fat meats with lean chicken can improve vascular health, indirectly benefiting the brain. However, excess animal protein can shift gut microbiota; moderation is key.","Excellent source of protein for muscle maintenance, low in saturated fat (good for heart health relative to red meat). Provides niacin and B6 for energy metabolism. When consumed in moderate amounts (2Ã¢ÂÂ3x/week in place of red meat), itÃ¢ÂÂs associated with better cardiovascular profiles and weight control. Avoid frying to keep it heart-healthy.","Protein, fiber, minerals, B vitamins, polyphenols","Heart health, diabetes prevention, digestive health",135,yes,yes,yes,yes,prebiotic,22.5,0.0,0,19.0,17.0
Chili Peppers,salad,Vegetables,½ cup cooked / 1 cup raw (baseball size),Made from ground chickpeas Ã¢ÂÂ retains high fiber and protein. Offers similar gut microbiome benefits as whole chickpeas (promotes beneficial bacteria and better blood sugar stability). Consuming legume-based pasta has been associated with improved satiety and possibly better cognitive energy due to more stable glucose.,"Lower glycemic response than wheat pasta, helpful for diabetes risk reduction. High protein aids muscle maintenance. Naturally gluten-free and nutrient-dense (iron, B vitamins). Supports heart health by improving lipid profile, as legumes are proven to lower LDL cholesterol modestly.","Vitamins (C, A), minerals, fiber, phytochemicals","
",18,no,no,no,yes,no,1.5,30.0,47,2.0,1.5
Cinnamon,,Spices,½Ã¢ÂÂ1 tsp; avoid excess due to coumarin in cassia cinnamon,"High in fiber and resistant starch; act as a prebiotic to increase butyrate-producing gut bacteria. Human trials show improved cognitive tasks when diets include more legumes like chickpeas, likely due to better glucose control and micronutrients (chickpeas provide choline and magnesium).","Regular chickpea intake improves cholesterol (can lower LDL) and aids glycemic control (low GI carb). Rich in folate, iron, and magnesium Ã¢ÂÂ supporting heart health and preventing anemia. Also contains polyphenols with antioxidant activity. Helps with satiety and weight management, reducing overall inflammation.","May improve insulin sensitivity and glucose metabolism, which are linked to cognitive function; has antioxidant and anti-inflammatory effects; may reduce tau aggregation and ?-amyloid accumulation [Kaidery et al., 2015]","Reduces neuroinflammation, supporting neurotransmitter balance, and promoting brain health; Inhibit monoamine oxidase-B, increase dopamine; Enhances microglial A? clearance",6,no,no,no,no,no,1.5,10.0,6.1,4.0,53.0
Cloves,,Spices,½Ã¢ÂÂ1 tsp; avoid excess due to coumarin in cassia cinnamon,"Fresh chilies provide vitamin C and capsaicin. Some population data suggests very high chili intake might be paradoxically linked to memory decline (possibly due to confounding), but moderate use can stimulate endorphins and doesnÃ¢ÂÂt harm and may improve gut motility. No clear cognitive benefit established, but no strong detriment either in moderation.",Rich in vitamin C and A (especially red chilies). Capsaicin has analgesic and metabolism-boosting effects Ã¢ÂÂ can increase thermogenesis and modestly aid weight loss. Helps clear sinuses and may improve blood vessel health via nitric oxide release. Excess can cause GI irritation; moderate intake is generally heart-healthy as part of spice-rich diets (like in some cultures with low cardiovascular disease).,"reduced neuroinflammation; Improved memory, reduced amyloid-beta, neuroprotection; synaptic plasticity; anti-oxidant","Reduces neuroinflammation, supporting neurotransmitter balance, and promoting brain health; Inhibit monoamine oxidase-B, increase dopamine; Enhances microglial A? clearance",5,no,no,no,no,no,1.5,15.0,0.4,6.0,34.0
Cod Liver Oil,,Oils,2-4 tbsp,"Contains polyphenolic compounds (e.g. cinnamaldehyde) that may act as prebiotics by promoting growth of beneficial bacteria. Some studies (including a review of 40 studies) suggest cinnamon supplementation can improve memory and attention, likely by reducing neuroinflammation and improving insulin sensitivity in the brain.","Notable anti-inflammatory and antioxidant effects. Cinnamon has been shown to lower fasting blood glucose and improve insulin sensitivity in diabetics. It also can lower blood triglycerides and total cholesterol modestly. Additionally, it has anti-microbial properties in the gut and may help alleviate indigestion. (Ceylon cinnamon is preferred to avoid excess coumarin).","EPA, DHA (omega-3 PUFAs), antioxidants","Cognitive health, neuroprotection. heart health, anti-inflammatory, antioxidant",15,yes,yes,yes,yes,no,0.0,5.0,0.1,0.0,0.0
Coffee,,Beans,8 oz,"Coffee is rich in polyphenols (chlorogenic acids) that are metabolized by gut bacteria, increasing beneficial species. Moderate coffee intake has been associated with a lower risk of cognitive decline and AlzheimerÃ¢ÂÂs in several studies, likely via antioxidant and anti-inflammatory effects. Caffeine also acutely enhances alertness and concentration.","Regular coffee consumption is linked to lower risk of ParkinsonÃ¢ÂÂs disease, type 2 diabetes, and stroke. Coffee drinkers often have improved liver function and lower inflammation markers. Coffee polyphenols positively alter gut microbiota (e.g., increase in beneficial Bifidobacteria). Note: benefits seen with 2Ã¢ÂÂ4 cups/day; excessive intake may cause jitters or raise blood pressure transiently.","Caffeine, chlorogenic acids, polyphenols, diterpenes, trigonelline, melanoidins","Neuroprotection, antioxidant, anti-inflammatory, metabolic health, cognitive support",0,yes,yes,yes,yes,prebiotic,0.0,0.0,0,0.1,0.0
Collard Greens,salad,Vegetables,1 cup raw / ½ cup cooked (1 handful),"Leafy greens like collards are strongly linked to brain health. A serving a day of collards/kale was associated with the cognitive function of someone 11 years younger. Rich in prebiotic fiber and nutrients (folate, vitamin K, lutein) that support the gut-brain axis and protect against cognitive decline.","Excellent for cardiovascular health: high vitamin K and potassium help blood pressure and vascular function. Fiber and antioxidants in collards lower inflammation and cholesterol. High in carotenoids (lutein, beta-carotene) supporting eye health and possibly reducing atherosclerosis. Also provides calcium for bone health.","Vitamin K (phylloquinone), lutein, folate, nitrate, ÃÂ±-tocopherol, kaempferol, ÃÂ²-carotene","Antioxidant, anti-inflammatory, improves vascular and cognitive function",25,yes,yes,yes,yes,prebiotic,2.5,15.0,0.4,3.0,4.0
Cornmeal (whole grain),cornmeal,Corn,1 cup,Whole-grain cornmeal (from whole corn) contains fiber and resistant starch that feed gut microbes. Supports stable energy for the brain. Diets including whole grains like whole corn are associated with better cognitive function than diets high in refined grains.,Whole cornmeal provides antioxidants like ferulic acid and lutein. Eating whole (unrefined) corn products supports metabolic health (lower risk of diabetes) and cardiovascular health by contributing to total whole-grain intake. Niacin in cornmeal (especially if nixtamalized as in masa) supports energy metabolism.,"complex carbohydrates, fiber, some carotenoids (lutein, zeaxanthin), and B vitamins","Fiber and micronutrients may support vascular and metabolic health, indirectly benefiting cognition",110,yes,yes,no,yes,prebiotic,27.5,68.0,0,8.0,7.0
Cottage Cheese,,Soft/Semi-Soft FermentedCheese,1 cup,"A fresh cheese usually made by acid or light fermentation. Contains dairy proteins that support muscle and neurotransmitter synthesis, but not significantly pre/probiotic. No direct microbiome-cognition benefit known; however, as a high-protein, low-fat food it can help regulate blood sugar (which indirectly benefits cognitive performance).","High in casein protein which promotes satiety and muscle maintenance. Provides calcium and phosphorus for bone health. Typically low-fat, making it a heart-healthier cheese option. Some varieties have live cultures, but generally the impact on gut flora is minimal compared to yogurt. Good source of B12 and selenium (antioxidant).",Bioactive peptides; Oleamide; Calcium; B12; Probiotics,"Reduces neuroinflammation, supporting neurotransmitter balance, and promoting brain health; Inhibit monoamine oxidase-B, increase dopamine; Enhances microglial A? clearance",90,Yes,yes,no,,probiotic;postbiotic,2.5,0.0,0,11.0,0.0
